ID,ADDRESS,LATITUDE,LONGITUDE,geometry
550,McLean Metro,38.924002,-77.208127,"c(-77.2081293496828, 38.9240097850969)"
551,Trinidad Rec Center,38.906299,-76.983221,"c(-76.983223279, 38.9063067901138)"
552,Rosedale Rec Center,38.897808,-76.979634,"c(-76.9796362771458, 38.8978157882255)"
553,11th & C St SE,38.885908,-76.991476,"c(-76.9914782802471, 38.885915785567)"
554,New Hampshire & Gallatin St NW,38.951596,-77.012808,"c(-77.012810290596, 38.9516037980159)"
555,United Medical Center,38.835737,-76.983144,"c(-76.9831462746571, 38.8357447756218)"
556,18th & New Hampshire Ave NW,38.911268,-77.041829,"c(-77.0418312975698, 38.9112757890906)"
560,Dunn Loring Metro,38.8828,-77.2283,"c(-77.2283023532222, 38.8828077762693)"
561,Oglethorpe St & 42nd Ave,38.959361,-76.946361,"c(-76.9463632705285, 38.9593688018517)"
562,Southern Ave Metro,38.840107,-76.9753,"c(-76.9753022725254, 38.840114777028)"
563,Queens Chapel & Hamilton St,38.9546,-76.9595,"c(-76.9595022740848, 38.9546078009533)"
564,Northwestern High School,38.975505,-76.952199,"c(-76.952201273607, 38.9755128049731)"
565,New Hampshire Ave & East-West Hwy,38.974205,-76.995227,"c(-76.9952292868776, 38.974212803527)"
566,Rhode Island Ave & 39th St / Brentwood Arts Exchange,38.939271,-76.955047,"c(-76.9550492716172, 38.9392787976935)"
567,Riggs Rd & East West Hwy,38.9725,-76.9807,"c(-76.9807022819147, 38.972507803304)"
568,Tanger Outlets,38.7968,-77.0026,"c(-77.0026022779129, 38.7968077671956)"
569,Chillum Rd & Riggs Rd / Riggs Plaza,38.961737,-76.995922,"c(-76.995924286252, 38.9617448009912)"
570,Hyattsville Library / Adelphi Rd & Toledo Rd,38.9698,-76.9493,"c(-76.9493022721489, 38.9698078043433)"
571,George Mason High School / Haycock Rd & Leesburg Pike,38.895172,-77.190275,"c(-77.1902773425219, 38.8951797799137)"
572,State Theatre / Park Pl & N Washington St,38.882746,-77.170032,"c(-77.1700343356678, 38.8827537785454)"
573,N Oak St & W Broad St,38.88837,-77.179832,"c(-77.1798343387953, 38.8883777790224)"
574,Pennsylvania Ave & Park Ave,38.887403,-77.176992,"c(-77.1769943381119, 38.8874107788234)"
575,E Fairfax St & S Washington St,38.880612,-77.171891,"c(-77.1718933354973, 38.8806197778447)"
576,N Roosevelt St & Roosevelt Blvd,38.878085,-77.153953,"c(-77.1539553302907, 38.8780927777357)"
577,W Broad St & Little Falls St,38.883601,-77.173438,"c(-77.1734403363993, 38.8836087783047)"
578,S Maple Ave & S Washington St,38.87972,-77.178408,"c(-77.1784103380652, 38.879727777505)"
579,Falls Church City Hall / Park Ave & Little Falls St,38.885434,-77.173605,"c(-77.1736073364368, 38.885441778688)"
580,W Columbia St & N Washington St,38.885621,-77.166917,"c(-77.1669193343616, 38.8856287791005)"
581,West Falls Church Metro,38.9001,-77.1887,"c(-77.1887023424802, 38.9001077809784)"
582,Jones Branch Drive & Scotts Crossing Rd,38.928502,-77.215624,"c(-77.2156263526986, 38.928509785844)"
583,Georgia Ave & Morton St NW,38.932128,-77.0235,"c(-77.0235022927205, 38.9321357939643)"
584,Merrilee Dr & Lauren Elizabeth Lane,38.879355,-77.230681,"c(-77.2306833542374, 38.8793627751897)"
585,Merrifield Cinema & Merrifield Town Center,38.870093,-77.22997,"c(-77.2299723530882, 38.870100773525)"
586,Rhode Island & Montana Ave NE,38.9243,-76.9859,"c(-76.9859022802745, 38.9243077934045)"
587,7th & S St NW,38.914204,-77.022175,"c(-77.0221772915286, 38.9142117901603)"
588,North Capitol & R St NE,38.912524,-77.008798,"c(-77.0088002873862, 38.9125317901211)"
589,17th & Upshur St NW,38.942146,-77.038684,"c(-77.0386862982036, 38.9421537950143)"
591,14th & Otis Pl NW,38.934405,-77.032687,"c(-77.0326892959067, 38.9344127936703)"
